diff_size,files_changed,hour_of_day,day_of_week,recent_failure_rate,test_pass_rate,is_hotfix,deployer_exp,days_since_deploy,build_time_delta,label,label_source,sample_weight
70,6,18,1,0.193,0.767,0,47,7.3,0.097,0,synthetic,1.0
451,9,14,4,0.134,0.72,1,41,4.9,0.009,1,synthetic,1.0
197,1,10,3,0.035,0.944,0,32,2.8,0.318,0,synthetic,1.0
136,5,15,3,0.494,0.765,0,26,1.8,0.636,0,synthetic,1.0
25,5,14,4,0.439,0.802,0,21,1.2,-0.347,0,synthetic,1.0
25,10,10,4,0.111,0.745,0,99,1.2,0.3,0,synthetic,1.0
8,14,11,3,0.158,0.88,0,1,3.3,-0.133,0,synthetic,1.0
301,1,6,0,0.059,0.804,0,2,0.7,0.256,0,synthetic,1.0
137,6,16,0,0.394,0.86,0,27,0.8,-0.136,0,synthetic,1.0
184,1,22,0,0.301,0.67,0,16,0.0,0.159,1,synthetic,1.0
3,4,10,5,0.51,0.94,0,20,3.8,0.186,0,synthetic,1.0
525,2,8,1,0.443,0.892,0,245,20.7,-0.209,1,synthetic,1.0
267,2,17,0,0.258,0.911,0,59,8.8,-0.143,1,synthetic,1.0
35,2,15,1,0.098,0.865,0,83,4.9,-0.057,0,synthetic,1.0
30,5,15,4,0.051,0.861,0,18,6.2,-0.488,0,synthetic,1.0
30,2,12,1,0.09,0.909,0,10,2.2,0.136,0,synthetic,1.0
54,7,17,6,0.177,0.849,0,58,1.4,0.442,0,synthetic,1.0
111,3,12,4,0.219,0.832,0,65,1.8,-0.378,0,synthetic,1.0
84,1,14,0,0.191,0.795,0,31,0.3,0.197,0,synthetic,1.0
51,9,10,4,0.485,0.831,0,90,4.0,0.103,0,synthetic,1.0
141,2,15,1,0.373,0.933,0,136,0.8,-0.207,0,synthetic,1.0
22,3,9,5,0.559,0.876,0,25,5.8,0.612,0,synthetic,1.0
51,6,15,1,0.178,0.748,0,10,0.8,0.345,0,synthetic,1.0
68,2,5,0,0.362,0.913,0,29,1.0,0.372,0,synthetic,1.0
91,1,16,2,0.563,0.651,0,182,12.6,0.012,1,synthetic,1.0
230,2,17,4,0.558,0.551,0,13,0.4,-0.454,1,synthetic,1.0
33,17,14,5,0.02,0.628,0,38,2.8,0.051,0,synthetic,1.0
108,6,11,2,0.152,0.982,0,47,0.3,-0.038,0,synthetic,1.0
134,6,11,4,0.057,0.638,0,9,0.4,0.307,0,synthetic,1.0
7,6,17,2,0.302,0.781,0,35,4.0,-0.177,1,synthetic,1.0
140,1,2,2,0.375,0.749,0,15,4.0,0.4,1,synthetic,1.0
28,3,10,5,0.196,0.827,0,77,0.9,-0.186,0,synthetic,1.0
10,8,23,6,0.448,0.818,0,50,8.2,0.212,0,synthetic,1.0
446,1,15,1,0.226,0.706,0,70,4.8,-0.224,1,synthetic,1.0
505,1,12,5,0.144,0.498,0,8,1.4,-0.011,1,synthetic,1.0
247,1,14,2,0.271,0.943,0,1,1.1,-0.4,0,synthetic,1.0
54,3,22,2,0.065,0.893,0,76,5.6,0.022,0,synthetic,1.0
15,23,12,4,0.378,0.927,0,19,5.3,-0.302,0,synthetic,1.0
172,1,14,6,0.59,0.667,0,7,0.6,0.166,1,synthetic,1.0
87,4,9,4,0.475,0.642,0,3,1.7,0.209,1,synthetic,1.0
19,1,2,4,0.398,0.907,0,29,1.0,-0.003,1,synthetic,1.0
102,21,17,3,0.424,0.726,0,6,1.4,-0.196,1,synthetic,1.0
